side,PC4,emotion,intensity,source_id,text
+,2.5758185,trust,medium,ed_all_58124,"It was an old wooden roller coaster, but I figured they wouldn't let it run if it wasn't safe enough."
+,2.4882271,trust,medium,ed_all_27550,I ordered a new video game console online and I keep checking the tracking. The delivery service usually comes through on time.
+,2.3557842,trust,high,ed_all_56043,I'm going to ride in a race car for the first time. They must have checked everything carefully since they wouldn't let me do this otherwise.
+,2.3554873,trust,low,ed_all_37552,"I wasn't certain about my midterm results, but I figure the teachers graded fairly."
+,2.3446243,trust,medium,ed_all_4925,I figured the safety checks meant the roller coaster would handle my fear of heights without any problems.
+,2.267094,trust,low,ed_all_17095,"When the family left last week, I figured they must have had important things to do."
-,-1.8794633,joy,high,ed_all_9483,Finding the baby bird and putting it back in its nest made my day—such a simple act felt incredibly uplifting!
-,-1.7193747,joy,high,ed_all_28930,"I was out on a walk tonight and I thought I saw an alligator in the grass—luckily, I escaped without a scratch, and now I can't stop laughing about the scare!"
-,-1.7185681,joy,medium,ed_all_29462,I bought a ticket on a new car at a hockey game—I can't wait to see if I get lucky!
-,-1.699027,joy,high,ed_all_51040,I can't believe I just stumbled upon a $20 bill on the street—this totally brightened my day!
-,-1.6874446,joy,medium,ed_all_27860,My girlfriend got tickets for a concert this weekend. It's my favorite band and I can't wait to see them live!
-,-1.655803,joy,high,ed_all_60985,"Yes!! Tomorrow's roller coaster rides at the amusement park are going to be amazing, I can't wait to scream and laugh all day!"
