side,PC3,emotion,intensity,source_id,text
+,2.0709987,anticipation,low,ed_all_33387,I went to the pool yesterday by myself. I kept wondering if anyone would show up to join me in the kiddie pool.
+,1.9792202,anticipation,medium,ed_all_6316,"I have a job interview coming up, and I keep running through what might happen next."
+,1.9207346,fear,medium,ed_all_55076,I found out I didn’t get the job—what if I can’t find another opportunity soon?
+,1.913927,fear,high,ed_all_63401,"When the hurricane hit, my heart was pounding, wondering if my preparations would actually be enough to keep me safe."
+,1.9128597,fear,low,ed_all_13810,I proposed and she said no. I can't help but wonder if this means things will change for worse between us.
+,1.8873703,anticipation,medium,ed_all_55696,"I accidentally stepped on someone's toe at the grocery store, and now I’m wondering if they’ll say something or just walk away."
-,-2.0389144,disgust,high,ed_all_21405,"Game of Thrones is ending? Honestly, about time—it dragged on longer than it should have."
-,-1.926981,anger,medium,ed_all_61406,I don’t get why people make such a big deal out of dogs running around a course—it’s annoying.
-,-1.8618977,disgust,medium,ed_all_55696,"I accidentally stepped on someone's toe at the grocery store; people really don't watch where they’re going, and it’s just rude."
-,-1.8524897,disgust,high,ed_all_53433,"After all the places we've been forced to live in, it's about time we're settled—those other places were terrible."
-,-1.7852328,disgust,medium,ed_all_50180,"I saw someone leave the BMW dealership in a brand new i8 last weekend, and honestly, it makes me roll my eyes thinking about how flashy and unnecessary that car is."
-,-1.6985383,trust,medium,ed_all_60745,"I slipped and fell in the parking lot, but I'm sure everyone has embarrassing moments, so it's nothing unusual."
